Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Insert Int (Randomized)/Data.AMT:10,6.159346136538367e-7,6.050823274649047e-7,6.412316205701049e-7,5.011852518711462e-8,2.5031232468098023e-8,9.286446878703642e-8
Insert Int (Randomized)/Data.AMT:100,1.1568707341953673e-5,1.1368985328161453e-5,1.200559913869294e-5,9.360605010617245e-7,5.211773211261192e-7,1.526677630806729e-6
Insert Int (Randomized)/Data.AMT:1000,1.4750688503589344e-4,1.452576652454918e-4,1.511736465726456e-4,1.0117879774295002e-5,6.3093349785885536e-6,1.5646385094593494e-5
Insert Int (Randomized)/Data.AMT:10000,3.0164202847552824e-3,2.971044273998874e-3,3.097803970209307e-3,1.8295797734762433e-4,1.2331289840715896e-4,2.918085405150247e-4
Insert Int (Randomized)/Data.AMT:100000,3.160853144844797e-2,3.1022160144526054e-2,3.205059546939882e-2,1.0639694488751468e-3,6.810758496823621e-4,1.5455334602533569e-3
Insert Int (Randomized)/Data.AMT:1000000,0.3614870152761916,0.3465910162336688,0.37185396525070785,1.5591681639359487e-2,0.0,1.795608407538701e-2
Lookup Int (Randomized)/Data.AMT:10,2.043922455909787e-8,2.015563331407047e-8,2.0867902526171577e-8,1.1490501736952884e-9,7.062633310111162e-10,1.8091204798082336e-9
Lookup Int (Randomized)/Data.AMT:100,4.4952266094660395e-8,4.4379491658012685e-8,4.600455261269351e-8,2.4166119912994213e-9,1.5085348534898964e-9,4.23926791628335e-9
Lookup Int (Randomized)/Data.AMT:1000,4.442772687855213e-8,4.3980054567610176e-8,4.531281157309026e-8,1.977998152503352e-9,1.1499268077239613e-9,3.4235671449229634e-9
Lookup Int (Randomized)/Data.AMT:10000,4.470033694870125e-8,4.423439041915044e-8,4.5893213218024326e-8,2.3351556008451965e-9,9.873860348254e-10,4.704852032187126e-9
Lookup Int (Randomized)/Data.AMT:100000,4.4345964437920124e-8,4.3508024909175416e-8,4.689221895401668e-8,2.879217477364992e-9,7.216190098294897e-10,5.400586888063798e-9
Lookup Int (Randomized)/Data.AMT:1000000,5.535384688761971e-8,5.455851910796587e-8,5.697814549932262e-8,2.328840289407293e-9,1.2494477471079712e-9,3.91351964903931e-9
